instance,algorithm,config,evaluations,runs,optimum,best,mean,std,gap_percent,feasible_runs
kp60_01,LAHC,LAHC100,2000,3,2922,2312.0,2277.3333,24.5674,22.0625,3
kp60_01,GA,GAKP,2000,3,2922,2653.0,2602.6667,36.609,10.9286,3
kp60_01,SA,SAKP,2000,3,2922,2350.0,2145.0,150.2686,26.5914,3
kp60_01,RW,RWKP,2000,3,2922,2258.0,1460.3333,1102.7131,50.0228,2
kp60_02,LAHC,LAHC100,2000,3,3362,2901.0,2819.0,58.0345,16.1511,3
kp60_02,GA,GAKP,2000,3,3362,3232.0,3125.3333,76.286,7.0395,3
kp60_02,SA,SAKP,2000,3,3362,2585.0,1643.6667,1208.2512,51.1105,2
kp60_02,RW,RWKP,2000,3,3362,2610.0,2498.3333,82.3178,25.6891,3
kp60_03,LAHC,LAHC100,2000,3,3263,2779.0,2702.0,70.8378,17.1928,3
kp60_03,GA,GAKP,2000,3,3263,3103.0,3008.0,75.9868,7.8149,3
kp60_03,SA,SAKP,2000,3,3263,2602.0,2509.6667,65.3214,23.0871,3
kp60_03,RW,RWKP,2000,3,3263,2778.0,2519.6667,245.2921,22.7807,3
kp60_04,LAHC,LAHC100,2000,3,3096,2725.0,2624.0,89.7144,15.2455,3
kp60_04,GA,GAKP,2000,3,3096,2894.0,2740.0,119.4069,11.4987,3
kp60_04,SA,SAKP,2000,3,3096,2327.0,2288.3333,39.5502,26.0874,3
kp60_04,RW,RWKP,2000,3,3096,2416.0,2294.6667,150.876,25.8829,3
kp60_05,LAHC,LAHC100,2000,3,2910,2550.0,2448.6667,73.8708,15.8534,3
kp60_05,GA,GAKP,2000,3,2910,2691.0,2588.3333,72.9673,11.0538,3
kp60_05,SA,SAKP,2000,3,2910,2292.0,716.0,1114.6183,75.3952,1
kp60_05,RW,RWKP,2000,3,2910,2111.0,666.6667,1022.1632,77.0905,1
