instance,algorithm,config,evaluations,runs,optimum,best,mean,std,gap_percent,feasible_runs
kp60_01,LAHC,LAHC20,2000,3,2922,2314.0,2196.3333,83.4279,24.8346,3
kp60_01,LAHC,LAHC100,2000,3,2922,2486.0,2375.3333,87.5189,18.7086,3
kp60_01,LAHC,LAHC200,2000,3,2922,2460.0,2408.6667,45.6971,17.5679,3
kp60_01,LAHC,LAHC500,2000,3,2922,2351.0,2323.6667,32.4996,20.4768,3
kp60_02,LAHC,LAHC20,2000,3,3362,2797.0,2745.6667,42.0502,18.3323,3
kp60_02,LAHC,LAHC100,2000,3,3362,2931.0,2847.6667,59.1289,15.2984,3
kp60_02,LAHC,LAHC200,2000,3,3362,2803.0,2782.0,22.3756,17.2516,3
kp60_02,LAHC,LAHC500,2000,3,3362,2835.0,2728.6667,98.2729,18.838,3
kp60_03,LAHC,LAHC20,2000,3,3263,2668.0,2596.3333,84.2945,20.4311,3
kp60_03,LAHC,LAHC100,2000,3,3263,2741.0,2614.6667,95.8343,19.8692,3
kp60_03,LAHC,LAHC200,2000,3,3263,2706.0,2645.3333,42.9056,18.9294,3
kp60_03,LAHC,LAHC500,2000,3,3263,2705.0,2649.6667,44.5147,18.7966,3
kp60_04,LAHC,LAHC20,2000,3,3096,2628.0,2492.6667,109.4268,19.4875,3
kp60_04,LAHC,LAHC100,2000,3,3096,2711.0,2685.6667,24.797,13.2537,3
kp60_04,LAHC,LAHC200,2000,3,3096,2673.0,2624.6667,48.1271,15.2239,3
kp60_04,LAHC,LAHC500,2000,3,3096,2481.0,2445.3333,36.0216,21.0164,3
kp60_05,LAHC,LAHC20,2000,3,2910,2330.0,2245.3333,97.339,22.8408,3
kp60_05,LAHC,LAHC100,2000,3,2910,2578.0,2468.3333,99.0634,15.1775,3
kp60_05,LAHC,LAHC200,2000,3,2910,2314.0,2304.0,8.6023,20.8247,3
kp60_05,LAHC,LAHC500,2000,3,2910,2469.0,2279.6667,138.2011,21.6609,3
